t|obj_id
38|4624 with 4380
38|4667 with 4380
38|4721 with 4667
38|4733 with 4276
38|4733 with 4321
38|4733 with 4380
38|4733 with 4667
38|4733 with 4721
38|4857 with 4733
38|4857 with 4276
38|4857 with 4321
38|4867 with 4733
38|4867 with 4380
38|4867 with 4624
38|4867 with 4667
38|4733 with 4867
38|4733 with 4857
38|4733 with 4276
38|4733 with 4321
38|4733 with 4380
38|4733 with 4667
38|4733 with 4721
38|6990 with 4887
38|6990 with 4991
38|7078 with 4991
38|7078 with 6990
38|7318 with 4991
38|7318 with 6990
38|7318 with 7078
38|8174 with 4887
38|8174 with 6990
38|8245 with 4991
38|8245 with 7078
38|8245 with 7318
38|4867 with 4857
38|4867 with 2190
38|4867 with 2430
38|4867 with 3795
38|8720 with 8356
38|9072 with 8720
38|9188 with 8356
38|9188 with 8720
38|9188 with 9072
38|9370 with 8356
38|9542 with 9536
38|8245 with 4857
38|8245 with 2190
38|8245 with 2430
38|8245 with 3795
38|5377 with 4701
38|5224 with 5174
38|991 with 710
38|5015 with 4774
38|1706 with 4698
38|1535 with 1298
38|1421 with 1409
38|2020 with 4579
38|2954 with 1974
39|9778 with 9765
39|9837 with 9765
39|9837 with 9778
39|9900 with 9837
39|9900 with 9765
39|9900 with 9778
39|2497 with 2520
39|2497 with 2617
39|2497 with 2831
39|2497 with 3803
39|2497 with 3831
39|2497 with 4118
39|8047 with 8009
39|2520 with 2497
39|2617 with 2497
39|2617 with 2520
39|2831 with 2520
39|2831 with 2617
39|4118 with 3831
39|4321 with 4276
39|4380 with 4321
39|4624 with 4380
39|4667 with 4380
39|4721 with 4667
39|4733 with 4276
39|4733 with 4321
39|4733 with 4380
39|4733 with 4667
39|4733 with 4721
39|4857 with 4733
39|4857 with 4276
39|4857 with 4321
39|4867 with 4733
39|4867 with 4380
39|4867 with 4624
39|4867 with 4667
39|4733 with 4867
39|4733 with 4857
39|4733 with 4276
39|4733 with 4321
39|4733 with 4380
39|4733 with 4667
39|4733 with 4721
39|6990 with 4887
39|6990 with 4991
39|7078 with 4991
39|7078 with 6990
39|7318 with 4991
39|7318 with 6990
39|7318 with 7078
39|8174 with 4887
39|8174 with 6990
39|8245 with 4991
39|8245 with 7078
39|8245 with 7318
39|4867 with 4857
39|4867 with 2190
39|4867 with 2430
39|4867 with 3795
39|8720 with 8356
39|9072 with 8720
39|9188 with 8356
39|9188 with 8720
39|9188 with 9072
39|9370 with 8356
39|9542 with 9536
39|8245 with 4857
39|8245 with 2190
39|8245 with 2430
39|8245 with 3795
39|5224 with 5174
39|991 with 710
39|5015 with 4774
39|1706 with 4698
39|1535 with 1298
39|1421 with 1409
39|2020 with 4579
